clima_id,ciudad_id,fecha,temperatura_c,humedad_pct,viento_kmh,lluvia,mm_lluvia,es_festivo
1,1,2024-01-01,15.0,73.9,14.6,False,0.0,True
2,1,2024-01-02,17.0,77.2,16.0,True,1.4,False
3,1,2024-01-03,12.8,70.8,9.7,False,0.0,False
4,1,2024-01-04,12.2,54.1,15.8,False,0.0,False
5,1,2024-01-05,15.6,62.8,10.3,False,0.0,False
6,1,2024-01-06,12.5,69.4,3.4,False,0.0,False
7,1,2024-01-07,12.7,79.8,22.2,False,0.0,True
8,1,2024-01-08,14.8,65.8,13.5,True,0.4,False
9,1,2024-01-09,12.8,72.7,9.6,False,0.0,False
10,1,2024-01-10,17.7,70.7,12.0,True,1.0,False
11,1,2024-01-11,13.5,78.1,6.9,False,0.0,False
12,1,2024-01-12,16.2,97.2,16.8,False,0.0,False
13,1,2024-01-13,15.5,76.4,11.5,True,1.6,False
14,1,2024-01-14,13.4,81.2,9.8,True,3.9,True
15,1,2024-01-15,11.3,68.0,7.5,False,0.0,False
16,1,2024-01-16,14.3,79.7,15.6,False,0.0,False
17,1,2024-01-17,15.8,81.0,11.2,False,0.0,False
18,1,2024-01-18,12.8,62.9,16.4,False,0.0,False
19,1,2024-01-19,13.6,71.7,16.7,False,0.0,False
20,1,2024-01-20,12.2,74.4,16.0,True,8.1,False
21,1,2024-01-21,14.7,69.8,13.4,False,0.0,True
22,1,2024-01-22,17.1,74.7,18.3,False,0.0,False
23,1,2024-01-23,8.8,81.6,12.3,False,0.0,False
24,1,2024-01-24,13.4,82.2,12.1,True,3.0,False
25,1,2024-01-25,12.9,63.0,8.8,False,0.0,False
26,1,2024-01-26,15.5,73.3,10.3,False,0.0,False
27,1,2024-01-27,15.8,77.6,9.9,True,1.4,False
28,1,2024-01-28,15.0,86.0,12.7,True,17.8,True
29,1,2024-01-29,13.4,80.4,11.0,False,0.0,False
30,1,2024-01-30,13.3,85.2,10.8,False,0.0,False
31,1,2024-01-31,8.7,77.8,10.4,False,0.0,False
32,1,2024-02-01,13.4,78.6,11.3,False,0.0,True
33,1,2024-02-02,14.4,58.8,8.2,False,0.0,False
34,1,2024-02-03,16.8,74.9,5.3,False,0.0,False
35,1,2024-02-04,11.9,67.1,12.4,False,0.0,True
36,1,2024-02-05,13.1,69.7,12.0,False,0.0,False
37,1,2024-02-06,15.0,72.9,9.7,False,0.0,False
38,1,2024-02-07,13.2,77.7,12.0,False,0.0,False
39,1,2024-02-08,15.5,65.8,8.9,False,0.0,False
40,1,2024-02-09,15.5,68.6,17.5,False,0.0,False
41,1,2024-02-10,16.8,86.1,8.5,False,0.0,False
42,1,2024-02-11,14.2,67.1,9.7,True,14.4,True
43,1,2024-02-12,14.2,71.0,5.8,False,0.0,False
44,1,2024-02-13,14.1,66.5,13.9,False,0.0,False
45,1,2024-02-14,15.2,73.7,10.4,True,9.4,False
46,1,2024-02-15,12.2,72.1,14.2,False,0.0,False
47,1,2024-02-16,14.5,85.5,5.6,True,8.6,False
48,1,2024-02-17,14.4,77.1,15.1,False,0.0,False
49,1,2024-02-18,11.5,64.4,14.1,False,0.0,True
50,1,2024-02-19,14.6,77.0,13.4,False,0.0,False
51,1,2024-02-20,12.6,76.9,13.2,False,0.0,False
52,1,2024-02-21,12.6,89.9,13.9,False,0.0,False
53,1,2024-02-22,11.6,80.3,8.1,False,0.0,False
54,1,2024-02-23,15.6,84.3,8.7,False,0.0,False
55,1,2024-02-24,15.9,78.3,15.3,False,0.0,False
56,1,2024-02-25,17.8,73.0,9.0,False,0.0,True
57,1,2024-02-26,15.8,73.1,16.8,True,2.5,False
58,1,2024-02-27,15.1,96.9,12.4,False,0.0,False
59,1,2024-02-28,15.3,68.1,7.7,True,5.4,False
60,1,2024-02-29,15.0,73.2,14.9,False,0.0,False
61,1,2024-03-01,14.9,74.4,8.6,False,0.0,True
62,1,2024-03-02,11.0,71.4,15.4,False,0.0,False
63,1,2024-03-03,14.4,65.0,12.7,False,0.0,True
64,1,2024-03-04,14.8,67.9,12.6,False,0.0,False
65,1,2024-03-05,14.1,65.9,13.4,False,0.0,False
66,1,2024-03-06,15.1,83.7,16.2,False,0.0,False
67,1,2024-03-07,15.8,70.2,13.2,True,3.6,False
68,1,2024-03-08,14.5,79.1,27.4,True,19.6,False
69,1,2024-03-09,16.7,82.9,12.9,True,12.8,False
70,1,2024-03-10,14.4,68.8,11.1,True,3.3,True
71,1,2024-03-11,13.9,70.7,4.8,True,6.9,False
72,1,2024-03-12,14.7,71.7,12.3,False,0.0,False
73,1,2024-03-13,12.2,72.3,18.2,False,0.0,False
74,1,2024-03-14,14.3,69.2,12.9,True,1.9,False
75,1,2024-03-15,14.1,69.8,20.6,False,0.0,False
76,1,2024-03-16,15.3,75.1,13.8,True,10.4,False
77,1,2024-03-17,16.1,70.0,10.2,False,0.0,True
78,1,2024-03-18,10.7,79.0,15.5,True,0.7,False
79,1,2024-03-19,13.3,72.5,13.3,True,4.2,False
80,1,2024-03-20,10.8,64.9,15.7,True,10.0,False
81,1,2024-03-21,18.2,83.3,5.9,False,0.0,False
82,1,2024-03-22,13.0,73.1,19.5,True,3.5,False
83,1,2024-03-23,14.0,67.5,6.8,False,0.0,False
84,1,2024-03-24,13.8,59.0,6.8,False,0.0,True
85,1,2024-03-25,13.1,76.0,17.8,True,7.7,False
86,1,2024-03-26,11.1,78.2,15.6,True,5.6,False
87,1,2024-03-27,13.6,75.5,14.6,False,0.0,False
88,1,2024-03-28,14.3,87.7,7.0,True,6.9,False
89,1,2024-03-29,15.4,75.6,13.8,True,4.9,False
90,1,2024-03-30,13.8,77.2,9.5,True,18.9,False
91,1,2024-03-31,15.8,71.3,9.5,True,0.6,True
92,1,2024-04-01,13.3,82.6,17.8,False,0.0,True
93,1,2024-04-02,14.7,79.7,9.5,False,0.0,False
94,1,2024-04-03,15.8,81.0,14.4,True,1.6,False
95,1,2024-04-04,10.4,65.2,9.3,True,37.3,False
96,1,2024-04-05,16.3,73.3,16.4,True,21.4,False
97,1,2024-04-06,15.7,81.5,17.2,False,0.0,False
98,1,2024-04-07,14.0,73.1,15.4,True,3.1,True
99,1,2024-04-08,13.5,70.1,19.6,False,0.0,False
