estacion_id,ciudad_id,nombre,latitud,longitud,fecha_instalacion
1,1,Kennedy,4.6258,-74.1478,2019-03-10
2,1,Usaquén,4.7069,-74.0317,2018-07-22
3,1,Fontibón,4.668,-74.1469,2020-01-15
4,1,Suba,4.7419,-74.083,2017-11-05
5,1,Ciudad Bolívar,4.5381,-74.1529,2021-06-30
6,2,El Centro,6.2442,-75.5812,2018-04-18
7,2,Belén,6.2218,-75.6122,2019-09-01
8,2,Robledo,6.2734,-75.5975,2020-03-25
9,2,Poblado,6.2108,-75.5631,2017-12-10
10,2,Aranjuez,6.2667,-75.5633,2021-02-14
11,3,San Fernando,3.4516,-76.532,2019-08-07
12,3,Aguablanca,3.4218,-76.4902,2020-07-01
13,3,Chipichape,3.4672,-76.5403,2018-01-20
14,3,Siloé,3.4197,-76.5541,2021-10-12
15,3,Juanchito,3.4301,-76.463,2022-03-05
