medicion_id,estacion_id,contaminante_id,valor,timestamp,flag_anomalia
1,1,1,8.84,2024-01-01 00:45:12,False
2,1,2,29.72,2024-01-01 00:40:15,False
3,1,3,21.66,2024-01-01 00:54:43,False
4,1,4,51.35,2024-01-01 00:36:50,False
5,1,5,2.21,2024-01-01 00:42:23,False
6,1,1,13.51,2024-01-01 01:00:54,False
7,1,2,25.98,2024-01-01 01:27:23,False
8,1,3,17.62,2024-01-01 01:45:09,False
9,1,4,57.24,2024-01-01 01:41:17,False
10,1,5,2.13,2024-01-01 01:49:30,False
11,1,1,24.54,2024-01-01 02:37:17,False
12,1,2,28.21,2024-01-01 02:59:05,False
13,1,3,18.18,2024-01-01 02:48:29,False
14,1,4,19.55,2024-01-01 02:21:01,False
15,1,5,1.35,2024-01-01 02:31:13,False
16,1,1,10.05,2024-01-01 03:17:56,False
17,1,2,31.03,2024-01-01 03:35:00,False
18,1,3,25.91,2024-01-01 03:15:46,False
19,1,4,18.57,2024-01-01 03:15:44,False
20,1,5,2.5,2024-01-01 03:28:50,False
21,1,1,,2024-01-01 04:25:44,False
22,1,2,29.99,2024-01-01 04:23:30,False
23,1,3,32.92,2024-01-01 04:47:35,False
24,1,4,54.63,2024-01-01 04:17:19,False
25,1,5,2.0,2024-01-01 04:12:20,False
26,1,1,12.93,2024-01-01 05:48:44,False
27,1,2,10.18,2024-01-01 05:30:17,False
28,1,3,18.11,2024-01-01 05:33:38,False
29,1,4,38.51,2024-01-01 05:12:18,False
30,1,5,1.7,2024-01-01 05:00:45,False
31,1,1,36.77,2024-01-01 06:03:35,False
32,1,2,67.18,2024-01-01 06:40:55,False
33,1,3,48.58,2024-01-01 06:00:36,False
34,1,4,73.42,2024-01-01 06:21:11,False
35,1,5,5.0,2024-01-01 06:55:30,False
36,1,1,42.22,2024-01-01 07:31:04,False
37,1,2,44.18,2024-01-01 07:09:09,False
38,1,3,72.32,2024-01-01 07:05:15,False
39,1,4,91.76,2024-01-01 07:38:38,False
40,1,5,4.86,2024-01-01 07:33:24,False
41,1,1,44.75,2024-01-01 08:55:37,False
42,1,2,70.26,2024-01-01 08:39:03,False
43,1,3,65.67,2024-01-01 08:48:13,False
44,1,4,104.59,2024-01-01 08:05:10,False
45,1,5,4.25,2024-01-01 08:10:00,False
46,1,1,41.45,2024-01-01 09:30:18,False
47,1,2,43.13,2024-01-01 09:18:44,False
48,1,3,53.42,2024-01-01 09:14:59,False
49,1,4,93.93,2024-01-01 09:37:42,False
50,1,5,4.64,2024-01-01 09:07:34,False
51,1,1,25.3,2024-01-01 10:17:52,False
52,1,2,19.66,2024-01-01 10:50:19,False
53,1,3,30.16,2024-01-01 10:58:18,False
54,1,4,67.46,2024-01-01 10:19:44,False
55,1,5,3.43,2024-01-01 10:34:31,False
56,1,1,19.42,2024-01-01 11:56:27,False
57,1,2,62.29,2024-01-01 11:01:05,False
58,1,3,27.0,2024-01-01 11:55:36,False
59,1,4,87.51,2024-01-01 11:48:43,False
60,1,5,3.61,2024-01-01 11:48:48,False
61,1,1,21.91,2024-01-01 12:28:58,False
62,1,2,69.19,2024-01-01 12:27:40,False
63,1,3,23.73,2024-01-01 12:30:22,False
64,1,4,86.36,2024-01-01 12:06:54,False
65,1,5,3.99,2024-01-01 12:31:18,False
66,1,1,16.81,2024-01-01 13:48:35,False
67,1,2,49.46,2024-01-01 13:16:20,False
68,1,3,25.61,2024-01-01 13:55:32,False
69,1,4,415.67,2024-01-01 13:29:26,True
70,1,5,2.7,2024-01-01 13:39:48,False
71,1,1,19.52,2024-01-01 14:03:13,False
72,1,2,43.37,2024-01-01 14:18:28,False
73,1,3,33.66,2024-01-01 14:01:40,False
74,1,4,19.59,2024-01-01 14:10:19,False
75,1,5,3.24,2024-01-01 14:05:14,False
76,1,1,11.8,2024-01-01 15:29:07,False
77,1,2,45.69,2024-01-01 15:59:45,False
78,1,3,36.23,2024-01-01 15:26:53,False
79,1,4,31.21,2024-01-01 15:29:35,False
80,1,5,2.36,2024-01-01 15:38:32,False
81,1,1,25.79,2024-01-01 16:04:17,False
82,1,2,57.59,2024-01-01 16:21:59,False
83,1,3,44.41,2024-01-01 16:00:18,False
84,1,4,113.41,2024-01-01 16:37:42,False
85,1,5,5.72,2024-01-01 16:34:30,False
86,1,1,48.08,2024-01-01 17:34:24,False
87,1,2,51.18,2024-01-01 17:12:44,False
88,1,3,45.75,2024-01-01 17:54:49,False
89,1,4,36.6,2024-01-01 17:30:45,False
90,1,5,3.8,2024-01-01 17:42:50,False
91,1,1,44.24,2024-01-01 18:31:02,False
92,1,2,91.4,2024-01-01 18:21:55,False
93,1,3,31.8,2024-01-01 18:06:33,False
94,1,4,70.62,2024-01-01 18:09:26,False
95,1,5,4.51,2024-01-01 18:04:30,False
96,1,1,38.14,2024-01-01 19:39:44,False
97,1,2,46.61,2024-01-01 19:21:54,False
98,1,3,54.37,2024-01-01 19:20:40,False
99,1,4,74.32,2024-01-01 19:55:34,False
100,1,5,4.52,2024-01-01 19:40:43,False
101,1,1,24.3,2024-01-01 20:47:05,False
102,1,2,37.01,2024-01-01 20:40:45,False
103,1,3,25.6,2024-01-01 20:44:19,False
104,1,4,51.41,2024-01-01 20:50:03,False
105,1,5,2.67,2024-01-01 20:09:15,False
106,1,1,19.41,2024-01-01 21:50:11,False
107,1,2,34.07,2024-01-01 21:55:24,False
108,1,3,42.21,2024-01-01 21:58:37,False
109,1,4,63.96,2024-01-01 21:16:29,False
110,1,5,2.56,2024-01-01 21:51:29,False
111,1,1,25.11,2024-01-01 22:10:04,False
112,1,2,33.24,2024-01-01 22:37:19,False
113,1,3,38.74,2024-01-01 22:16:29,False
114,1,4,60.38,2024-01-01 22:24:54,False
115,1,5,2.66,2024-01-01 22:36:22,False
116,1,1,23.78,2024-01-01 23:18:01,False
117,1,2,19.53,2024-01-01 23:17:00,False
118,1,3,19.96,2024-01-01 23:47:03,False
119,1,4,31.12,2024-01-01 23:53:57,False
120,1,5,2.8,2024-01-01 23:14:38,False
121,1,1,19.37,2024-01-02 00:12:39,False
122,1,2,38.97,2024-01-02 00:49:42,False
123,1,3,21.72,2024-01-02 00:06:57,False
124,1,4,39.71,2024-01-02 00:50:28,False
125,1,5,1.1,2024-01-02 00:08:05,False
126,1,1,11.68,2024-01-02 01:26:11,False
127,1,2,17.83,2024-01-02 01:56:23,False
128,1,3,15.22,2024-01-02 01:53:10,False
